State_code,State_name,County_code,County_name,TotalPop_K,Total_WU,Per_Municipal,Per_Industrial,Per_Mining,Per_Livestock,Per_Aquaculture,Per_Irrigation,Per_Irrig_Crops,Per_Irrig_Golf,Per_Thermo
6,California,59,Orange County,3169.776,561.79,81.44324392,3.223624486,2.111109133,0.005340074,0,2.116449207,0.452126239,1.664322968,11.10023318
6,California,61,Placer County,375.391,190.07,28.44741411,1.010154154,0.157836587,0.157836587,0,70.22675856,68.53264587,1.694112695,0
6,California,63,Plumas County,18.409,106.86,2.011978289,1.263335205,0.271383118,0.252667041,0.018716077,96.18192027,95.17125211,1.010668164,0
6,California,65,Riverside County,2361.026,1222.47,36.05241846,0.42782236,0.935810286,0.339476633,1.445434244,60.67960768,58.2803668,2.399240881,0.119430334
6,California,67,Sacramento County,1501.335,867.58,26.65921298,1.949099795,0.251273658,0.209778925,19.75956108,50.95322622,50.7584315,0.194794716,0.217847345
6,California,69,San Benito County,58.792,25.3,20.71146245,15.88932806,1.106719368,2.529644269,0,59.76284585,58.73517787,1.027667984,0
6,California,71,San Bernardino County,2128.133,457.3,73.84649027,10.06122895,2.182374809,1.500109337,2.269844741,7.288432101,6.083533785,1.204898316,2.85151979
6,California,73,San Diego County,3299.521,613.33,66.65579704,0.26413187,0.484241762,0.172827026,0,19.28488742,16.67454714,2.610340274,13.13811488
6,California,75,San Francisco County,864.816,68.2,99.03225806,0,0.117302053,0,0,0.850439883,0,0.850439883,0
6,California,77,San Joaquin County,726.106,1329.75,7.023124647,1.720624177,0.139123895,0.713667983,0.894153036,89.50930626,89.41605565,0.093250611,0
6,California,79,San Luis Obispo County,281.401,2099.34,1.386149933,0.184819991,0.047634018,0.048110358,0,3.761658426,3.655910905,0.105747521,94.57162727
6,California,81,San Mateo County,765.135,91.71,74.5720205,0.185366917,0,0.076327554,0,25.16628503,24.09769927,1.068585759,0
6,California,83,Santa Barbara County,444.769,120.02,41.60973171,5.299116814,5.740709882,0.733211131,0,46.61723046,44.11764706,2.499583403,0
6,California,85,Santa Clara County,1918.044,215.74,90.19653286,5.784740892,0,0.125150644,0.023176045,3.754519329,2.665245203,1.089274126,0.115880226
6,California,87,Santa Cruz County,274.146,57.26,32.22144604,11.9629759,0.87320992,0.209570381,0,54.73279776,53.96437304,0.768424729,0
6,California,89,Shasta County,179.533,243.22,13.76120385,6.233040046,0.365923855,0.254913247,12.76621988,66.1828797,65.99375051,0.189129183,0.435819423
6,California,91,Sierra County,2.967,24.33,1.520756268,1.849568434,0,0.616522811,0,96.01315249,96.01315249,0,0
6,California,93,Siskiyou County,43.554,228.59,2.016711142,1.001793604,0.157487204,0.39371801,8.289951441,88.1403386,88.00472462,0.135613981,0
6,California,95,Solano County,436.092,455.02,11.4676278,1.336205002,0.021977056,0.250538438,0,86.92365171,86.75003297,0.173618742,0
6,California,97,Sonoma County,502.146,312.01,12.97714817,4.647286946,0.041665331,1.240344861,5.589564437,67.41450595,66.9690074,0.445498542,8.089484311
6,California,99,Stanislaus County,538.388,1147.69,7.01234654,1.326142077,0.039209194,1.449868867,0.027882094,90.10795598,90.05393442,0.054021556,0.036595248
6,California,101,Sutter County,96.463,658.62,2.066441954,1.302723877,0.030366524,0.019738241,0,96.57921108,96.56250949,0.016701588,0.001518326
6,California,103,Tehama County,63.308,536.41,0.980593203,0.333699968,0.055927369,0.244216178,48.17583565,50.20972763,50.17617121,0.033556421,0
6,California,105,Trinity County,13.069,21.93,4.514363885,2.27998176,0.09119927,0.364797082,43.86684907,48.88280894,48.74601003,0.136798906,0
6,California,107,Tulare County,459.863,1525.16,4.611319468,1.047758924,0.083269952,2.719058984,0.001311338,91.52875764,91.46187941,0.066878229,0.008523696
6,California,109,Tuolumne County,53.709,26.59,20.57164347,5.754042873,0,0.639338097,60.92515983,11.84655886,10.45505829,1.391500564,0.263256863
6,California,111,Ventura County,850.536,311.22,41.77752072,3.280637491,3.486279802,0.044984256,4.189962085,27.34721419,25.69564938,1.651564809,19.87340145
6,California,113,Yolo County,213.016,600.74,4.479475314,0.131504478,0.146486001,0.079901455,0,95.16263275,95.08938975,0.073243,0
6,California,115,Yuba County,74.492,8.95,100,0,0,0,0,0,0,0,0
